,Рентабельность продаж,Рентабельность активов (ROA),Рентабельность капитала (ROE)
1528,0.0005,,
1529,,,
1530,,,
1531,,,
1532,,,
1533,,,
1534,,,
1535,,,
1536,0.0859,0.0005,0.0208
1537,,,
1538,,,
1539,0.0252,-0.0961,-0.6125
1540,-1.6856,0.0777,-0.3765
1541,,,
1542,,,
1543,,,
1544,,,
1545,,,
1546,,,
1547,,,
1548,,,
1549,0.0769,0.1734,-0.0797
1550,0.0031,0.0059,0.5155
1551,,,
1552,0.0006,0.0689,1.1489
1553,,,
1554,,,
1555,0.2346,0.3999,0.6334
1556,,,
1557,,,
1558,,,
1559,,,
1560,,,
1561,-0.9574,-2.6585,0.1998
1562,,,
1563,,,
1564,,,
1565,0.0081,0.0066,0.0859
1566,,,
1567,0.0279,0.007,5.6
1568,,,
1569,,,
1570,,,
1571,0.9806,1.9808,1.9977
1572,0.024,0.0753,0.3505
1573,,,
1574,,,
1575,1.0,0.0889,
1576,,,
1577,,,
1578,,,
1579,,,
1580,,,
1581,,,
1582,,,
1583,,,
1584,,,
1585,,,
1586,,,
1587,0.0931,0.0228,0.2124
1588,,,
1589,,,
1590,,,
1591,,,
1592,,,
1593,,,
1594,,,
1595,,,
1596,,,
1597,,,
1598,,,
1599,,,
1600,,,
1601,,,
1602,,,
1603,0.8597,0.2218,0.2231
1604,,,
1605,0.1978,0.2005,1.6296
1606,,,
1607,,,
1608,,,
1609,,,
1610,,,
1611,,,
1612,,,
1613,,,
1614,,,
1615,,,
1616,,,
1617,0.053,0.0069,-0.1301
1618,,,
1619,,,
1620,,,
1621,,,
1622,,,
1623,,,
1624,0.0082,0.0117,0.0463
1625,,,
1626,,,
1627,,,
1628,,,
1629,,,
1630,,,
1631,,,
1632,,,
1633,,-0.0106,2.2937
1634,-51.7059,0.1,0.2143
1635,-0.0159,0.0479,0.3272
1636,,,
1637,,,
1638,,,
1639,,,
1640,,,
1641,,,
1642,,,
1643,,,
1644,,,
1645,,,
1646,,,
1647,,,
1648,,,
1649,,,
1650,0.0371,0.1578,0.514
1651,,,
1652,0.4777,0.3789,0.6025
1653,,,
1654,,,
1655,,,
1656,,,
1657,,,
1658,,,
1659,,,
1660,,,
1661,,,
1662,,,
1663,0.0465,0.1482,0.25
1664,,,
1665,,,
1666,,,
1667,,-0.0002,-0.0542
1668,,-0.4977,-3.0571
1669,,,
1670,,,
1671,,,
1672,,,
1673,,,
1674,,,
1675,,,
1676,,,
1677,,,
1678,,,
1679,,-9.5,0.1836
1680,,,
1681,,,
1682,0.0178,0.0375,0.0643
1683,,,
1684,,,
1685,,-0.0363,0.0081
1686,,,
1687,,,
1688,0.005,0.0007,0.0258
1689,0.0241,0.1136,0.1495
1690,,,
1691,,,
1692,-0.0843,-0.2349,-0.5006
1693,,,
1694,,,
1695,,,
1696,,0.2568,0.7874
1697,,-1.3157,0.7586
1698,,,
1699,,,
1700,0.045,0.0429,0.0547
1701,,,
1702,,,
1703,,,
1704,,,
1705,,,
1706,,,
1707,,,
1708,,,
1709,,,
1710,-0.0046,0.0029,0.2872
1711,,,
1712,,,
1713,,,
1714,0.0168,0.2076,0.8683
1715,,,
1716,,,
1717,,,
1718,,,
1719,,,
1720,,,
1721,,,
1722,,,
1723,,,
1724,,,
1725,,,
1726,,,
1727,,,
1728,,,
1729,,,
1730,,,
1731,-0.1165,0.0074,0.3634
1732,,,
1733,,,
1734,,,
1735,,,
1736,,,
1737,,,
1738,,,
1739,0.0289,0.0453,0.064
1740,,,
1741,,,
1742,,,
1743,,,
1744,,-0.0282,2.0738
1745,,,
1746,,,
1747,,-0.959,0.5361
1748,0.025,0.0717,0.8136
1749,,,
1750,,,
1751,,,
1752,,,
1753,,,
1754,,,
1755,,,
1756,,,
1757,,,
1758,,,
1759,,,
1760,,,
1761,-0.1764,0.0402,0.987
1762,,,
1763,,,
1764,,,
1765,,,
1766,,,
1767,,,
1768,,,
1769,0.0453,0.5613,0.9636
1770,0.0158,0.0676,45.0
1771,,,
1772,,,
1773,,,
1774,,,
1775,,,
1776,,,
1777,,,
