,Период погашения кредиторской задолженности,Период оборота запасов,Период погашения дебиторской задолженности,Период оборота основных средств,Период оборота активов
1063,,,,,
1064,,,,,
1065,,,,,
1066,84.48,9.1,6.0,7.2,39.0
1067,,,,,
1068,,,,,
1069,,,,,
1070,,,,,
1071,,,,,
1072,,,,,
1073,2.42,6.8,40.0,,52.0
1074,,,,,
1075,,,,,
1076,,,,,
1077,,,,,
1078,,,,,
1079,,,,,
1080,1.16,,,,1.0
1081,,,,,
1082,919.04,1398.4,160.0,,1580.0
1083,178.41,23.0,8.0,210.6,328.0
1084,,,,,
1085,,,,,
1086,,,,,
1087,,,,,
1088,398.2,276.6,682.0,,960.0
1089,,,,,
1090,,,,,
1091,,,,,
1092,64.07,114.9,18.0,33.3,177.0
1093,,,,,
1094,,,,,
1095,,,,,
1096,,,,,
1097,,,,,
1098,1.48,,50.0,,53.0
1099,,,,,
1100,,,,,
1101,,,,,
1102,,,,,
1103,,,,,
1104,,,,,
1105,,,,,
1106,,,,,
1107,24.2,8.5,30.0,,40.0
1108,,,,,
1109,,,,,
1110,,,,,
1111,110.4,40.7,36.0,1.5,114.0
1112,,,,,
1113,,,,,
1114,,,,,
1115,48.62,173.8,1397.0,,1587.0
1116,561.78,3788.7,1538.0,,6708.0
1117,186.43,1.5,171.0,,198.0
1118,,,,,
1119,,,,,
1120,,,,,
1121,85.85,1.5,94.0,,104.0
1122,,,,,
1123,,,,,
1124,,,,,
1125,,,,,
1126,,,,,
1127,68942.56,13564.8,55459.0,,69033.0
1128,,,,,
1129,338.19,44.5,8.0,,96.0
1130,,,,,
1131,,,,,
1132,,,,,
1133,,,,,
1134,,,,,
1135,1127.23,154.4,311.0,,528.0
1136,,,,,
1137,,,,,
1138,,,,,
1139,47.99,65.2,34.0,187.5,312.0
1140,,,,,
1141,,,,,
1142,,,,,
1143,,,,,
1144,,,,,
1145,,,,,
1146,69.95,0.3,99.0,,166.0
1147,,,,,
1148,,,,,
1149,,,,,
1150,,,,,
1151,,,,,
1152,,,,,
1153,,,,,
1154,573.36,117.7,415.0,,572.0
1155,,,,,
1156,302.75,14.9,222.0,,262.0
1157,240.8,122.8,109.0,140.5,399.0
1158,,,,,
1159,,,,,
1160,,,,,
1161,,,,,
1162,,,,,
1163,,,,,
1164,,,,,
1165,,,,,
1166,136.06,30.6,92.0,7.5,136.0
1167,,,,,
1168,,,,,
1169,,,,,
1170,91.13,84.4,8.0,2.9,96.0
1171,,,,,
1172,,,,,
1173,1491.1,,2533.0,,2708.0
1174,,,,,
1175,,,,,
1176,,,,,
1177,,,,,
1178,,,,,
1179,,,,,
1180,,,,,
1181,,,,,
1182,,,,,
1183,,,,,
1184,454.49,169.5,431.0,,640.0
1185,,,,,
1186,,,,,
1187,83.53,20.7,86.0,1.0,110.0
1188,,,,,
1189,,,,,
1190,,,,,
1191,,,,,
1192,,,,,
1193,,,,,
