,Доходы,Расходы,Расходы,Валовая прибыль (убыток),Коммерческие расходы,Управленческие расходы,Прибыль (убыток) от продажи,Чистая прибыль (убыток)
941,,,,,,,,
942,,,,,,,4641000.0,4268000.0
943,,,,,,,,
944,,,,,,,,
945,,,,,,,,
946,,,,,,,,
947,,,,,,,,
948,,,,,,,,
949,,,,,,,,
950,,,,,,,,
951,,,,,,,,
952,,,,,,,,
953,,,,,,,,
954,,,,,,,,
955,,,,,,,,
956,,,,,,,,
957,,,,,,,,
958,,,,,,,,
959,,,,,,,,
960,,,,,,,,
961,,,,,,,,
962,,,,,,,,
963,,,,,,,,
964,,,,,,,,
965,,,,,,,,
966,,,,,,,-1017000.0,742000.0
967,,,,20497000.0,1661000.0,16361000.0,2475000.0,808000.0
968,,,,,,,,
969,,,,,,,1488000.0,1291000.0
970,,,,,,,69000.0,40000.0
971,,,,,,,,
972,,,,,,,,
973,,,,,,,,
974,,,,,,,,
975,,,,,,,,
976,,,,,,,,
977,,,,,,,,
978,,,,,,,164000.0,350000.0
979,,,,,,,-1792000.0,-1976000.0
980,,,,,,,53000.0,35000.0
981,,,,55000.0,,,55000.0,43000.0
982,,,,,,,,
983,,,,,,,,
984,,,,,,,,-1000.0
985,,,,,,,,
986,,,,,,,,
987,,,,,,,,
988,,,,,,,,
989,,,,,,,,
990,,,,,,,,
991,,,,,,,,
992,,,,,,,,
993,,,,,,,,
994,,,,,,,,
995,,,,,,,,
996,,,,,,,,
997,,,,,,,,
998,,,,,,,,
999,,,,,,,,
1000,,,,,,,,
1001,,,,,,,,
1002,,,,,,,,
1003,,,,,,,-42000.0,-138000.0
1004,,,,5541000.0,,4858000.0,683000.0,433000.0
1005,,,,,,,,
1006,,,,,,,,
1007,,,,,,,-1038000.0,-1178000.0
1008,,,,,,,,
1009,,,,,,,,
1010,,,,,,,,
1011,,,,,,,,
1012,,,,,,,,
1013,,,,,,,,
1014,,,,,,,,
1015,,,,,,,,
1016,,,,,,,,
1017,,,,,,,1211000.0,
1018,,,,,,,,
1019,,,,,,,,
